branch_id,b_code,b_city,b_region,b_country,created_at
1,ECO001,Benin City,Edo,Nigeria,2026-01-04 10:57:43
2,UNI002,Cross-River,Calabar,Nigeria,2025-10-24 04:45:48
3,FCM003,Ikeja,Lagos,Nigeria,2025-10-17 07:20:03
4,ZEN004,Port Harcourt,Rivers,Nigeria,2026-08-10 14:53:33
5,FCM005,Kaduna,Kaduna,Nigeria,2026-02-28 05:53:56
6,FID006,Lagos,Lagos,Nigeria,2026-07-09 14:43:53
7,STE007,Owerri,Imo,Nigeria,2026-01-29 09:51:25
8,ACC008,Jos,Plateau,Nigeria,2025-09-18 06:21:17
9,FID009,Port Harcourt,Rivers,Nigeria,2026-03-18 03:27:11
10,FIR010,Uyo,Akwa Ibom,Nigeria,2025-09-21 11:30:05
11,FID011,Jos,Plateau,Nigeria,2026-04-26 20:35:15
12,FCM012,Ibadan,Oyo,Nigeria,2025-10-15 15:18:01
13,STA013,Cross-River,Calabar,Nigeria,2025-10-25 10:30:18
14,STE014,Benin City,Edo,Nigeria,2025-09-28 22:27:19
15,UBA015,Jos,Plateau,Nigeria,2026-06-14 02:36:54
16,ZEN016,Enugu,Enugu,Nigeria,2026-02-09 06:42:36
17,STA017,Abuja,FCT,Nigeria,2026-07-23 11:33:44
18,UNI018,Enugu,Enugu,Nigeria,2026-01-12 03:33:34
